시설구분,시설명,면적(㎡),부스수(9㎡ 기준),수용인원(명),주요시설,기타시설,문의번호,비고
회의실,115,144,,140,"A/V 시스템, 전동형 스크린, 현수막바텐, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,116,144,,140,"A/V 시스템, 전동형 스크린, 현수막바텐, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,117,144,,140,"A/V 시스템, 전동형 스크린, 현수막바텐, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,118,144,,140,"A/V 시스템, 전동형 스크린, 현수막바텐, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,201,81,,70,"A/V 시스템, 전동형 스크린, 현수막바텐, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,202,81,,70,"A/V 시스템, 전동형 스크린, 현수막바텐, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,203,108,,18,"A/V 시스템, 전동형 스크린, 현수막바텐, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,204,108,,98,"A/V 시스템, 전동형 스크린, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,205,108,,98,"A/V 시스템, 전동형 스크린, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,206,108,,98,"A/V 시스템, 전동형 스크린, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,207,108,,98,"A/V 시스템, 전동형 스크린, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,208,108,,17,"A/V 시스템, 전동형 스크린, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,301,108,,24,"A/V 시스템, 전동형 스크린, 현수막바텐, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,302,108,,98,"A/V 시스템, 전동형 스크린, 현수막바텐, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,303,108,,98,"A/V 시스템, 전동형 스크린, 현수막바텐, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,304,108,,98,"A/V 시스템, 전동형 스크린, 현수막바텐, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,305,108,,98,"A/V 시스템, 전동형 스크린, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,306,108,,98,"A/V 시스템, 전동형 스크린, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,307,108,,98,"A/V 시스템, 전동형 스크린, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,308,108,,98,"A/V 시스템, 전동형 스크린, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,309,108,,98,"A/V 시스템, 전동형 스크린, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,310,81,,70,"A/V 시스템, 전동형 스크린, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
회의실,311,81,,70,"A/V 시스템, 전동형 스크린, LCD프로젝터","로비-등록, 이벤트, 커피브레이크, 칵테일리셉션 등   ",032-210-1114,수용인원은 극장식 기준
부대시설,송도컨벤시아 부대시설,4580,,,"휴게음식점, 일반음식점, 위락시설 및 기타 상업시설","식당, 커피숍, 편의점, 가구판매점, 어린이수영장 등",032-210-1114,
